Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
Stew Leonards,8100,8100,8100,9900,9900,8100,8100,8100,9900,14800,6600,6600,8100,8100,9900,9900,9900,9900,8100,8100,12100,14800,12100,9900
Kahr Arms,14800,12100,9900,9900,9900,8100,8100,9900,9900,9900,12100,9900,9900,8100,8100,6600,6600,8100,6600,6600,8100,12100,12100,9900
Hi Point Firearms,8100,6600,5400,5400,6600,8100,6600,9900,9900,12100,12100,9900,9900,6600,6600,6600,8100,8100,6600,8100,9900,14800,12100,9900
Plains All American,5400,4400,4400,4400,4400,5400,4400,5400,5400,4400,5400,6600,6600,6600,14800,8100,8100,9900,6600,5400,6600,6600,8100,8100
Sharecare,3600,4400,4400,3600,3600,2900,3600,3600,3600,2900,3600,3600,4400,4400,3600,3600,3600,3600,3600,4400,3600,2900,14800,6600
MSCI,12100,9900,9900,9900,9900,8100,9900,9900,9900,8100,12100,9900,9900,9900,9900,18100,12100,9900,9900,9900,9900,8100,9900,9900
Lear,14800,14800,14800,9900,9900,12100,14800,18100,14800,14800,14800,14800,14800,18100,14800,9900,9900,12100,18100,18100,18100,14800,14800,18100
Pall,12100,12100,9900,8100,9900,9900,12100,12100,12100,12100,12100,12100,18100,12100,14800,9900,9900,9900,12100,14800,12100,9900,14800,14800
Kennametal,14800,14800,14800,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,12100,14800,14800,14800,14800,14800,14800,12100,14800,18100
Spectra Energy,9900,9900,12100,12100,12100,9900,12100,12100,9900,12100,14800,14800,14800,12100,12100,12100,12100,18100,14800,12100,12100,12100,14800,14800
Mesa Airlines,18100,14800,12100,12100,12100,12100,12100,14800,14800,14800,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,18100,18100
L 3 Communications,14800,14800,12100,12100,18100,18100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800
New York Life Insurance,14800,14800,12100,12100,14800,12100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,14800,14800,18100,18100
Lam Research,8100,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900,9900,9900,12100,9900,9900,9900,8100,8100,18100,8100,6600,9900,9900
L Brands,5400,5400,5400,5400,5400,5400,6600,8100,9900,9900,8100,9900,9900,9900,9900,9900,9900,12100,12100,12100,18100,14800,14800,14800
Pioneer Natural Resources,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,18100,14800,14800,18100,14800,12100,12100,12100,14800,14800
Molycorp,6600,5400,8100,6600,8100,6600,6600,5400,5400,5400,8100,9900,14800,12100,9900,18100,18100,8100,6600,4400,3600,4400,5400,3600
Peets,9900,9900,9900,9900,9900,9900,9900,12100,12100,14800,12100,9900,12100,12100,12100,12100,12100,12100,12100,14800,14800,18100,14800,14800
Knights Armament,18100,14800,12100,12100,14800,12100,12100,14800,14800,14800,18100,14800,14800,12100,9900,9900,9900,9900,9900,12100,12100,14800,14800,12100
Rock Tenn,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,18100,12100,12100,12100,12100,12100,12100,8100,6600,6600,4400,4400,5400,4400
Park Seed,18100,14800,12100,8100,6600,6600,5400,4400,3600,6600,14800,14800,18100,18100,12100,6600,5400,5400,5400,4400,3600,5400,14800,14800
Protective Life,9900,9900,8100,18100,9900,9900,9900,9900,8100,8100,9900,9900,12100,9900,9900,9900,9900,8100,8100,9900,8100,8100,8100,8100
Peavey Electronics,590,720,590,590,590,590,720,720,480,590,590,18100,1600,1600,1000,880,590,590,590,480,480,1900,720,3600
Miro,22200,18100,18100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,9900,12100,12100,12100,12100,14800,14800,12100
Ingram,14800,14800,12100,14800,14800,14800,18100,18100,14800,14800,14800,14800,14800,18100,12100,14800,14800,14800,14800,18100,18100,22200,18100,22200
Koch,14800,18100,14800,18100,14800,14800,22200,22200,18100,14800,18100,18100,18100,18100,14800,14800,14800,22200,22200,22200,18100,14800,18100,22200
Huntsman,9900,12100,9900,9900,9900,9900,12100,14800,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,18100,18100,14800,22200
Invacare,22200,22200,22200,18100,22200,18100,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800
Sothebys,18100,18100,22200,14800,14800,14800,14800,18100,22200,14800,14800,14800,18100,18100,22200,14800,14800,14800,18100,22200,22200,18100,22200,18100
Kellogg,18100,18100,18100,14800,14800,18100,18100,22200,18100,14800,22200,18100,22200,22200,18100,18100,18100,18100,18100,22200,22200,22200,22200,22200
Hallmark Cards,12100,12100,18100,12100,9900,9900,12100,14800,14800,22200,12100,18100,12100,14800,18100,14800,12100,12100,12100,14800,18100,22200,12100,18100
Ocean Spray,12100,12100,12100,9900,9900,9900,9900,14800,22200,14800,12100,12100,12100,12100,9900,12100,12100,12100,9900,12100,22200,12100,12100,12100
Lucasfilm,5400,6600,5400,5400,4400,4400,4400,5400,6600,5400,6600,5400,5400,8100,6600,5400,6600,6600,6600,8100,9900,22200,14800,8100
Lucas Oil,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,18100,14800,18100,22200,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800
Marathon Oil,18100,18100,18100,18100,18100,18100,22200,18100,14800,18100,18100,18100,14800,14800,14800,14800,18100,18100,18100,14800,14800,14800,22200,22200
Infinity Ward,12100,9900,12100,6600,6600,8100,5400,9900,9900,5400,5400,5400,6600,8100,6600,6600,5400,6600,5400,6600,12100,9900,14800,22200
Marathon Petroleum,12100,12100,14800,12100,12100,12100,22200,14800,12100,14800,18100,18100,18100,18100,14800,14800,18100,18100,18100,14800,12100,18100,18100,18100
Huntington Ingalls,22200,18100,18100,22200,22200,18100,18100,18100,14800,14800,18100,18100,18100,18100,18100,18100,18100,14800,14800,12100,12100,9900,14800,14800
Intuitive Surgical,14800,22200,12100,12100,14800,12100,12100,12100,9900,9900,14800,12100,14800,12100,9900,9900,9900,9900,9900,12100,9900,9900,12100,12100
Jarden,6600,6600,5400,5400,6600,5400,6600,6600,6600,6600,6600,8100,6600,6600,8100,6600,9900,6600,6600,9900,8100,22200,8100,8100
MeadWestvaco,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,22200,14800,12100,9900,9900,9900,9900,8100,6600,6600,5400,4400,5400,4400
Pinnacle Foods,8100,6600,22200,9900,8100,8100,8100,8100,6600,5400,8100,8100,9900,8100,6600,8100,8100,6600,6600,8100,8100,6600,8100,8100
Marantz,22200,22200,18100,18100,22200,22200,22200,22200,22200,27100,27100,22200,22200,22200,22200,18100,22200,22200,22200,22200,27100,27100,27100,22200
SuperValu,14800,14800,14800,12100,14800,27100,18100,14800,12100,12100,18100,14800,14800,14800,14800,14800,18100,18100,14800,18100,14800,14800,18100,18100
Molex,22200,22200,22200,22200,22200,22200,22200,27100,22200,18100,22200,22200,27100,22200,22200,22200,22200,22200,22200,27100,22200,18100,22200,27100
Regis,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,27100,27100,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100
Rockwell Automation,27100,27100,27100,22200,22200,22200,27100,27100,22200,22200,27100,27100,27100,27100,22200,22200,22200,27100,27100,27100,27100,22200,27100,27100
Mondelez International,22200,27100,22200,18100,22200,18100,22200,22200,18100,14800,22200,22200,22200,22200,18100,18100,18100,27100,22200,18100,14800,14800,18100,22200
State Street,22200,18100,14800,14800,14800,14800,18100,22200,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,18100,22200,22200,22200
Invesco,27100,27100,22200,22200,22200,18100,22200,22200,18100,18100,22200,22200,27100,22200,18100,18100,22200,22200,22200,22200,18100,18100,22200,22200
Paramount Pictures,22200,22200,18100,18100,22200,22200,18100,22200,22200,27100,27100,22200,22200,27100,22200,22200,22200,22200,18100,22200,22200,22200,22200,22200
Juniper Networks,27100,27100,18100,18100,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200,18100,18100,18100,22200,18100,22200,18100,22200,22200,18100
Jacobs Engineering,27100,27100,27100,27100,27100,27100,27100,27100,22200,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,14800,22200,22200
Rockwell Collins,22200,22200,18100,18100,22200,18100,27100,22200,18100,18100,22200,22200,22200,22200,18100,18100,22200,22200,27100,22200,18100,18100,22200,22200
Sara Lee,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,18100,27100,18100,14800,14800,14800,18100,14800
Kiewit,22200,22200,18100,18100,18100,18100,27100,22200,18100,18100,22200,22200,22200,22200,18100,18100,22200,22200,27100,27100,18100,18100,22200,22200
JPMorgan,27100,18100,14800,12100,14800,14800,14800,22200,14800,14800,18100,14800,14800,14800,12100,12100,12100,12100,12100,14800,12100,9900,12100,12100
National Oilwell Varco,18100,22200,22200,22200,22200,18100,22200,27100,22200,18100,22200,18100,14800,18100,14800,14800,14800,14800,12100,14800,12100,9900,14800,14800
Land O Lakes,22200,22200,18100,18100,18100,18100,22200,27100,27100,27100,27100,22200,27100,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200
SCANA,18100,18100,14800,14800,14800,12100,12100,14800,12100,14800,14800,18100,18100,18100,22200,18100,22200,22200,22200,27100,22200,22200,22200,22200
Standard Pacific Homes,27100,27100,22200,22200,27100,22200,22200,22200,18100,18100,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,18100,18100,22200,22200
Hanover Insurance,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200,27100,27100,27100,27100,27100,22200,22200,22200,27100
NRG Energy,22200,22200,18100,22200,22200,27100,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100,18100,22200,22200,22200,14800,22200,22200,18100
Newell Rubbermaid,12100,12100,9900,9900,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,12100,27100,14800,18100
SkyWest Airlines,18100,18100,22200,22200,22200,22200,18100,18100,18100,18100,22200,18100,22200,27100,22200,22200,22200,22200,22200,18100,18100,18100,18100,18100
Noble Energy,22200,22200,18100,22200,22200,22200,27100,22200,18100,18100,22200,18100,18100,18100,22200,18100,22200,22200,18100,14800,14800,12100,14800,14800
Lennar,22200,22200,18100,18100,22200,18100,22200,22200,18100,18100,22200,22200,27100,22200,22200,22200,22200,22200,18100,18100,14800,14800,22200,22200
OReilly Auto,22200,18100,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,22200,22200,22200,27100,27100,18100,22200,18100,18100,22200,18100
Schneider National,22200,22200,22200,22200,22200,22200,27100,27100,22200,22200,27100,22200,27100,27100,22200,22200,22200,22200,22200,18100,14800,14800,22200,18100
Peabody Energy,8100,8100,6600,6600,6600,5400,8100,8100,6600,8100,9900,8100,9900,9900,9900,18100,18100,27100,18100,18100,12100,12100,14800,18100
Old Dominion Freight,14800,18100,12100,12100,12100,14800,12100,12100,12100,12100,12100,12100,14800,18100,18100,18100,14800,22200,22200,22200,27100,27100,22200,22200
Spirit AeroSystems,12100,12100,12100,22200,27100,18100,18100,18100,12100,12100,12100,12100,12100,12100,12100,14800,18100,14800,14800,12100,9900,9900,12100,12100
Popeyes Louisiana Kitchen,1900,1900,1900,4400,2900,3600,1900,2400,2400,4400,5400,8100,18100,27100,27100,14800,12100,9900,4400,5400,5400,8100,8100,9900
Opower,18100,27100,12100,12100,9900,9900,12100,9900,9900,8100,9900,12100,12100,9900,9900,8100,8100,9900,8100,8100,8100,6600,8100,9900
Raycom Media,2900,2400,2400,2400,2900,4400,27100,2900,1900,3600,3600,2900,3600,2900,2900,2900,2900,3600,3600,4400,3600,5400,4400,4400
KKR,22200,27100,27100,27100,27100,22200,27100,27100,22200,22200,22200,27100,33100,33100,27100,22200,22200,27100,27100,27100,22200,22200,27100,27100
Philip Morris,18100,18100,18100,18100,18100,14800,18100,18100,18100,14800,18100,22200,22200,22200,18100,18100,18100,18100,18100,22200,18100,14800,18100,33100
Red Hat,27100,27100,27100,27100,27100,22200,27100,33100,22200,22200,27100,22200,27100,27100,27100,27100,27100,27100,33100,33100,27100,27100,27100,27100
PPG,33100,33100,33100,33100,33100,27100,33100,33100,27100,27100,27100,27100,33100,27100,27100,33100,33100,33100,33100,33100,27100,27100,33100,33100
Kenworth,33100,27100,27100,27100,33100,33100,27100,33100,27100,33100,33100,33100,33100,33100,27100,33100,33100,33100,33100,33100,27100,33100,33100,33100
KBR,33100,27100,27100,27100,27100,22200,33100,33100,27100,27100,33100,33100,33100,33100,27100,27100,27100,27100,33100,33100,27100,27100,33100,33100
Levi Strauss,27100,27100,33100,18100,14800,18100,22200,22200,22200,22200,22200,27100,22200,22200,22200,14800,14800,14800,18100,22200,18100,18100,18100,27100
Parker Hannifin,33100,33100,33100,33100,27100,33100,33100,33100,27100,27100,33100,33100,33100,33100,27100,27100,27100,27100,33100,33100,27100,22200,33100,33100
Owens Corning,27100,33100,27100,27100,27100,27100,27100,27100,22200,22200,27100,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100,22200,27100,33100
Liz Claiborne,33100,33100,33100,27100,27100,27100,27100,27100,33100,33100,27100,27100,33100,33100,33100,27100,27100,27100,27100,27100,33100,33100,27100,27100
Stericycle,27100,27100,22200,27100,27100,27100,27100,33100,22200,22200,27100,27100,27100,27100,27100,27100,33100,33100,33100,33100,27100,27100,33100,33100
Mercury Marine,22200,27100,27100,33100,33100,27100,22200,22200,14800,14800,18100,27100,22200,27100,33100,33100,33100,27100,22200,18100,14800,12100,14800,18100
Regeneron,18100,18100,14800,14800,18100,18100,22200,22200,22200,22200,27100,27100,33100,27100,27100,27100,33100,27100,27100,27100,22200,18100,27100,27100
SC Johnson,12100,12100,9900,14800,12100,12100,12100,12100,12100,9900,12100,12100,12100,12100,18100,14800,12100,12100,14800,14800,33100,12100,12100,14800
Perrigo,12100,12100,12100,9900,14800,12100,12100,12100,12100,9900,12100,12100,12100,33100,18100,14800,14800,18100,22200,22200,33100,12100,14800,14800
Silver Lake,12100,14800,18100,22200,27100,22200,14800,12100,9900,9900,14800,12100,14800,18100,22200,27100,33100,27100,18100,18100,12100,12100,14800,14800
Southern Wine and Spirits,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,27100,22200,27100,27100,22200,27100,27100,27100,27100,27100,22200,22200,33100,33100
Houghton Mifflin,27100,22200,22200,18100,14800,22200,33100,27100,22200,18100,22200,22200,22200,22200,18100,14800,14800,22200,33100,27100,18100,14800,22200,22200
Omnicare,14800,18100,14800,18100,18100,14800,18100,18100,14800,14800,18100,14800,18100,22200,33100,22200,18100,22200,18100,18100,18100,14800,18100,14800
King Kullen,18100,18100,22200,22200,22200,22200,18100,18100,22200,27100,22200,18100,18100,18100,22200,22200,22200,22200,22200,22200,27100,33100,27100,22200
Marlin Firearms,18100,14800,12100,12100,14800,18100,18100,22200,27100,27100,27100,18100,18100,12100,9900,14800,12100,12100,12100,18100,27100,33100,27100,18100
Manischewitz,12100,33100,9900,9900,8100,9900,18100,12100,12100,22200,12100,12100,22200,33100,9900,9900,9900,9900,14800,12100,14800,22200,12100,12100
Shoneys,12100,12100,12100,12100,14800,12100,9900,9900,12100,12100,12100,12100,12100,12100,14800,14800,18100,14800,12100,12100,18100,33100,27100,27100
Olan Mills,33100,33100,22200,18100,18100,18100,18100,18100,22200,27100,14800,14800,18100,14800,12100,9900,12100,12100,12100,12100,14800,18100,9900,9900
National Airlines,2400,2400,2400,2400,2400,2400,2900,2900,2400,2900,3600,2400,2900,2900,2400,2400,3600,2400,3600,8100,6600,18100,18100,33100
Lorillard,14800,8100,12100,14800,33100,8100,8100,8100,6600,8100,9900,8100,14800,22200,14800,9900,5400,3600,2900,2900,2400,2400,2400,2400
NCR,33100,33100,33100,33100,33100,27100,33100,40500,27100,27100,33100,33100,33100,40500,33100,40500,40500,33100,33100,33100,33100,27100,33100,33100
Lexmark,40500,33100,33100,27100,33100,33100,33100,27100,27100,22200,27100,22200,27100,27100,22200,22200,22200,27100,22200,27100,22200,27100,27100,33100
NetApp,33100,33100,33100,27100,33100,33100,33100,33100,27100,27100,33100,33100,33100,33100,40500,40500,27100,33100,33100,33100,27100,27100,33100,40500
K Swiss,22200,22200,22200,22200,22200,27100,22200,22200,22200,27100,22200,22200,33100,33100,27100,27100,22200,27100,22200,27100,33100,40500,33100,40500
Praxair,33100,33100,33100,33100,33100,33100,40500,40500,27100,27100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,33100,33100,40500,40500
Shaklee,40500,33100,33100,33100,33100,33100,40500,33100,33100,33100,40500,33100,33100,33100,33100,33100,33100,40500,33100,33100,33100,27100,33100,33100
Illumina,33100,27100,27100,27100,27100,27100,27100,33100,27100,22200,33100,33100,33100,33100,27100,33100,33100,33100,27100,33100,27100,27100,40500,33100
Ryder,27100,33100,33100,33100,33100,27100,33100,27100,22200,22200,27100,27100,33100,33100,33100,33100,40500,40500,33100,33100,33100,27100,33100,33100
Rent A Wreck,27100,27100,27100,33100,33100,27100,22200,22200,22200,22200,27100,27100,33100,27100,33100,33100,40500,33100,22200,22200,22200,22200,22200,22200
International Paper,27100,27100,27100,27100,33100,27100,33100,27100,27100,22200,33100,27100,33100,33100,27100,33100,33100,33100,33100,33100,27100,27100,40500,33100
Sunoco,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,40500,40500,33100,40500,40500,40500
Nabisco,33100,33100,22200,27100,27100,27100,27100,33100,27100,22200,27100,27100,27100,22200,22200,22200,27100,40500,33100,27100,22200,18100,22200,27100
Ryland Homes,33100,33100,33100,33100,33100,33100,27100,27100,27100,27100,33100,33100,40500,33100,33100,40500,40500,40500,33100,40500,33100,27100,40500,33100
Northwest Airlines,40500,40500,40500,40500,33100,33100,33100,27100,27100,27100,33100,27100,33100,33100,27100,33100,33100,27100,27100,27100,22200,22200,27100,27100
Ranger Boats,40500,40500,40500,40500,33100,27100,22200,22200,18100,27100,33100,33100,40500,40500,40500,40500,33100,33100,27100,22200,18100,22200,33100,40500
Sunrise Senior Living,33100,33100,33100,33100,33100,33100,33100,40500,33100,33100,33100,33100,33100,27100,22200,27100,27100,33100,27100,27100,22200,22200,33100,33100
PG and E,22200,22200,22200,22200,27100,27100,27100,27100,22200,27100,27100,27100,27100,27100,27100,27100,33100,33100,27100,27100,27100,33100,33100,40500
Qwest,40500,33100,33100,33100,33100,33100,27100,27100,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,18100,22200,18100
Oreck,40500,27100,27100,27100,27100,27100,22200,27100,33100,33100,33100,27100,27100,27100,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200
Lubys,14800,14800,14800,14800,14800,14800,14800,14800,33100,18100,14800,14800,18100,14800,18100,18100,18100,18100,18100,18100,40500,27100,22200,40500
Ideal,33100,33100,27100,27100,27100,33100,40500,40500,33100,33100,40500,40500,40500,40500,40500,33100,33100,40500,40500,40500,40500,40500,49500,49500
RCA,33100,33100,33100,33100,33100,33100,33100,33100,40500,49500,40500,33100,40500,40500,33100,40500,40500,40500,40500,40500,49500,49500,49500,40500
Quantum,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,40500,40500,40500,49500,49500,40500,40500,40500
McKinsey,40500,40500,33100,33100,40500,33100,49500,40500,33100,33100,40500,40500,40500,40500,33100,33100,40500,40500,49500,49500,40500,33100,40500,40500
Nielsen,33100,33100,27100,27100,33100,27100,40500,40500,33100,27100,33100,40500,33100,33100,40500,40500,40500,40500,49500,49500,40500,40500,49500,49500
Ingram Micro,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,27100,27100,33100,27100,27100,27100,27100,27100,33100,33100,33100,33100,33100,49500
Heinz,18100,18100,18100,14800,14800,14800,18100,18100,14800,14800,18100,18100,49500,22200,22200,22200,22200,22200,18100,18100,18100,14800,14800,22200
Van Heusen,33100,40500,40500,33100,33100,40500,33100,40500,49500,49500,33100,33100,40500,40500,40500,33100,40500,40500,40500,40500,49500,49500,40500,40500
Iron Mountain,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,49500,40500,49500,49500,40500,49500,49500,49500,40500,40500,33100,40500,49500,40500
Peterbilt,49500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500
McCormick,49500,40500,40500,40500,40500,33100,40500,40500,49500,40500,49500,40500,49500,49500,40500,40500,40500,40500,40500,49500,49500,40500,49500,49500
Rockford Fosgate,49500,49500,49500,49500,49500,49500,40500,40500,40500,49500,49500,49500,49500,49500,49500,40500,40500,49500,40500,49500,49500,49500,49500,49500
SAIC,49500,49500,40500,40500,40500,40500,49500,49500,40500,40500,40500,40500,49500,40500,49500,40500,40500,40500,49500,40500,40500,40500,40500,40500
JB Hunt,40500,40500,40500,40500,40500,40500,40500,49500,40500,40500,49500,40500,49500,49500,40500,49500,49500,49500,49500,49500,49500,49500,49500,49500
